location name,nws shef id,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum
Keuka Outlet at Dresden,DRDN6,4232482,42.68444444,-76.94972222,BGM,NERFC,NY,Yates,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRDN6,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Driftwood River near Edinburgh,DREI3,3363000,39.3392,-85.9864,IND,OHRFC,IN,Bartholomew,,EST5EDT,TRUE,,9,11,14,17,ft,,https://water.noaa.gov/gauges/DREI3,HGIRG,TRUE,,94 cfs,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,636.59,,,,
Muskingum River at Dresden,DREO1,3144500,40.12027778,-81.99972222,PBZ,OHRFC,OH,Muskingum,,EST5EDT,FALSE,,-9999,20,23,26,ft,,https://water.noaa.gov/gauges/DREO1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,692.31,,,,
Drews Creek at Drews Reservoir,DREO3,,42.120833,-120.616389,MFR,CNRFC,OR,Lake,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DREO3,HPIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
North Branch Chicago River at Deerfield,DRFI2,5534500,42.1528,-87.81861111,LOT,NCRFC,IL,Lake,,CST6CDT,FALSE,,8.5,9.5,11.5,13.5,ft,,https://water.noaa.gov/gauges/DRFI2,HGIRG,TRUE,,3.5 ft,Forecasts are not available. Only observed stages are available for this point.,TRUE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,638.73,,,,
Arkansas River at Deerfield,DRFK1,7138070,37.96972222,-101.1283333,DDC,ABRFC,KS,Kearny,,CST6CDT,FALSE,,13,14,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRFK1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,2920,,,,
Dead Run at Franklintown,DRFM2,1589330,39.31111111,-76.71666667,LWX,MARFC,MD,Baltimore,,EST5EDT,FALSE,,8,10,12,14,ft,,https://water.noaa.gov/gauges/DRFM2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,303.79,,,,
Deerfield Reservoir,DRFS2,,44.02914848,-103.7818652,UNR,MBRFC,SD,Pennington,,MST7MDT,FALSE,,5908,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRFS2,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Bureau of Reclamation Deerfield Reservior,,TRUE,TRUE,FALSE,TRUE,NGVD29,5808,,,,
Animas River at Durango,DRGC2,9361500,37.2791688,-107.8803445,GJT,CBRFC,CO,La Plata,,MST7MDT,FALSE,,7,8,9,10.5,ft,,https://water.noaa.gov/gauges/DRGC2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,6501.57,,,,
West Fork Big Blue River near Dorchester,DRGN1,6880800,40.7308,-97.177922,OAX,MBRFC,NE,Seward,,CST6CDT,FALSE,,13,15,22,24.4,ft,,https://water.noaa.gov/gauges/DRGN1,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,Observations courtesy of the USGS,,TRUE,TRUE,TRUE,TRUE,NGVD29,1403.48,,,,
Dry Creek (Russian R.) near Mouth NR Healdsburg,DRIC1,11465350,38.58741046,-122.8622159,MTR,CNRFC,CA,Sonoma,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRIC1,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dan River at Riverwalk Trail in Danville,DRIV2,,36.5872,-79.38265,RNK,SERFC,VA,City of Danville,,EST5EDT,FALSE,,10,13,18,23,ft,,https://water.noaa.gov/gauges/DRIV2,HGIRR,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of the VDEM Flood Intel Unit,,FALSE,FALSE,FALSE,FALSE,NAVD88,378.8,,,,
Deer Creek (MD) near Darlington,DRLM2,1580520,39.6175,-76.19194444,LWX,MARFC,MD,Harford,,EST5EDT,FALSE,,9,10,14,17,ft,,https://water.noaa.gov/gauges/DRLM2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,46.99,,,,
Butte Creek Near Durham,DRMC1,,39.67805556,-121.7769444,STO,CNRFC,CA,Butte,,PST8PDT,FALSE,,190.5,198,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRMC1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,State of California / Department of Water Resources,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Dolores River below McPhee Resv.,DRMC2,,37.576936,-108.572594,GJT,CBRFC,CO,Montezuma,,MST7MDT,FALSE,,7,8,9,10,ft,,https://water.noaa.gov/gauges/DRMC2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,NGVD29,6666.45,,,,
Dead River near Marquette 1NNW,DRMM4,4044003,46.57169444,-87.41036111,MQT,NCRFC,MI,Marquette,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRMM4,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,598.016,,,,
Clark Fork River near Drummond,DRMM8,12331800,46.71191,-113.331,MSO,NWRFC,MT,Granite,,MST7MDT,FALSE,,7,8,10,11.5,ft,,https://water.noaa.gov/gauges/DRMM8,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,3810,,,,
Deer Creek (East Oregon) near McKewen,DRMO3,,44.7467,-118.1061,BOI,NWRFC,OR,Baker,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRMO3,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dungeness River near Mouth at Sequim,DRMW1,,48.14333333,-123.1272222,SEW,NWRFC,WA,Clallam,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRMW1,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,Washington State Dept. of Ecology,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dan River at Robertson Bridge in Danville,DROV2,,36.5784,-79.43138,RNK,SERFC,VA,City of Danville,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DROV2,HGIRR,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of the VDEM Flood Intel Unit,,FALSE,FALSE,FALSE,FALSE,NAVD88,404,,,,
Dolores River near Rico,DRRC2,9165000,37.63888428,-108.0603517,GJT,CBRFC,CO,Dolores,,MST7MDT,FALSE,,5.5,5.8,7.3,9.5,ft,,https://water.noaa.gov/gauges/DRRC2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,8422.23,,,,
Carson River at Deer Run Road,DRRN2,10311400,39.18137778,-119.6948694,REV,CNRFC,NV,Carson City,,PST8PDT,FALSE,,13,15.5,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRRN2,HGIRG,TRUE,,0 ft,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,4576.32,,,,
Row River above Pitcher Creek near Dorena,DRRO3,14154500,43.7359565,-122.8734019,PQR,NWRFC,OR,Lane,,GMT0GMT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRRO3,HGIRG,TRUE,,0 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,856.16,,,,
Obion River near Dresden,DRST1,,36.25472222,-88.64222222,MEG,LMRFC,TN,Weakley,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRST1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dungeness River near Sequim,DRSW1,12048000,48.01444444,-123.1313889,SEW,NWRFC,WA,Clallam,,PST8PDT,FALSE,,5.9,7,7.5,8,ft,,https://water.noaa.gov/gauges/DRSW1,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,569.3,,,,
Deering Tide Gauge at Deering (MLLW datum),DRTA2,,66.09722222,-162.7405556,AFG,APRFC,AK,Northwest Arctic,,AST9ADT,FALSE,,-9999,5,7,10,ft,,https://water.noaa.gov/gauges/DRTA2,HMIRZ,FALSE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of the Alaska Division of Geological & Geophysical Surveys,,FALSE,FALSE,FALSE,FALSE,MLLW*,0,,,,
Red River of the North at Drayton,DRTN8,5092000,48.57222222,-97.14722222,FGF,NCRFC,ND,Pembina,,CST6CDT,FALSE,,28,32,38,42,ft,,https://water.noaa.gov/gauges/DRTN8,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,756.06,,,,
Dry Creek (Russian R.) below Warm Springs Dam NR Geyserville,DRWC1,11465000,38.71963226,-123.0005556,MTR,CNRFC,CA,Sonoma,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRWC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,,,,,,
West Fork North Branch Chicago River at Deerfield,DRWI2,5535400,42.167339,-87.857022,LOT,NCRFC,IL,Lake,,CST6CDT,FALSE,,11,13,14,16,ft,,https://water.noaa.gov/gauges/DRWI2,HGIRG,TRUE,,7 ft,Forecasts are not available. Only observed stages are available for this point.,TRUE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,639.7,,,,
Onion Creek near Driftwood,DRWT2,8158700,30.08277778,-98.0075,EWX,WGRFC,TX,Hays,,CST6CDT,FALSE,,5.5,5.5,7,13,ft,,https://water.noaa.gov/gauges/DRWT2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,868.52,,,,
Lycoming Creek above Deer Crossing,DRXP1,,41.53694444,-76.95944444,CTP,MARFC,PA,Lycoming,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DRXP1,HGIRP,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dry Brook at Arkville,DRYN6,1413408,42.14666667,-74.62361111,BGM,MARFC,NY,Delaware,,EST5EDT,FALSE,,9,10.5,11.5,12.5,ft,,https://water.noaa.gov/gauges/DRYN6,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,1335.67,,,,
Dry Creek (Napa) at Highway 29,DSAC1,,38.36527778,-122.3375,MTR,CNRFC,CA,Napa,,PST8PDT,FALSE,,9,-9999,14,-9999,ft,,https://water.noaa.gov/gauges/DSAC1,HGIRR,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,Napa County,,FALSE,FALSE,FALSE,FALSE,,,,,,
Sabana River near DeLeon,DSBT2,8099300,32.11388889,-98.60527778,FWD,WGRFC,TX,Comanche,,CST6CDT,FALSE,,17,19,22,24,ft,,https://water.noaa.gov/gauges/DSBT2,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
White River at Des Arc,DSCA4,,34.97666667,-91.4925,LZK,LMRFC,AR,Prairie,,CST6CDT,FALSE,,23,24,26,30,ft,,https://water.noaa.gov/gauges/DSCA4,HGIRG,TRUE,,0 ft,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of U.S. Army Corps of Engineers,,TRUE,TRUE,TRUE,TRUE,,,,,,
South Side Canal near Dundee,DSCT2,7312110,33.813985,-98.932844,OUN,ABRFC,TX,Archer,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSCT2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,1040.54,,,,
Unnamed Tributary at Dulles Station near Herndon,DSCV2,,38.95444444,-77.41972222,LWX,MARFC,VA,Fairfax,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSCV2,HPIRR,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Los Gatos Creek below Lake Elsman,DSEC1,,37.1312,-121.9343,MTR,CNRFC,CA,Santa Clara,,1234,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSEC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,SJW - San Jose Water,,FALSE,FALSE,FALSE,FALSE,,,,,,
Little Blue River near Deshler,DSHN1,6883530,40.21472222,-97.82083333,GID,MBRFC,NE,Nuckolls,,CST6CDT,FALSE,,14,16,22,25,ft,,https://water.noaa.gov/gauges/DSHN1,HGIR2,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Observations courtesy of the USGS,,FALSE,FALSE,FALSE,FALSE,,,,,,
Ohio River at Dashields Lock and Dam,DSHP1,3086000,40.54916667,-80.20583333,PBZ,OHRFC,PA,Allegheny,,EST5EDT,FALSE,,19.4,25,29,32,ft,,https://water.noaa.gov/gauges/DSHP1,HPIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,679.57,,,,
Boyer River near Denison K Ave--IFC,DSKI4,,42.065647,-95.344322,DMX,MBRFC,IA,Crawford,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSKI4,HGIRP,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Iowa Flood Center,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Lyndon Canyon Creek at Beardsley,DSLC1,,37.19995,-122.01453,MTR,CNRFC,CA,Santa Clara,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSLC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,San Jose Water,,FALSE,FALSE,FALSE,FALSE,,,,,,
Tongue River near Decker,DSLM8,6306300,45.0091361,-106.8359444,BYZ,MBRFC,MT,Big Horn,,MST7MDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSLM8,HGIRZ,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,FALSE,TRUE,,,,,,
Great Dismal Swamp Canal near Arbuckle Landing,DSMV2,,36.59333,-76.38444,AKQ,SERFC,VA,City of Chesapeake,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSMV2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,,,,,,
Dry Creek near Snelling,DSNC1,,37.555,-120.463333,HNX,CNRFC,CA,Merced,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSNC1,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Kinchafoonee Creek at 11 E of Dawson at Pinewood Rd in Lee County,DSNG1,2350900,31.76444444,-84.25333333,TAE,SERFC,GA,Terrell,,EST5EDT,FALSE,,10,13,16,20.5,ft,,https://water.noaa.gov/gauges/DSNG1,HGIRG,TRUE,,2.6 ft,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Red River at Lake Texoma near Denison,DSNT2,7331500,33.818158,-96.572493,OUN,ABRFC,TX,Bryan,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSNT2,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,NGVD29,0,,,,
Soap Creek near Drakesville Falcon Blvd--IFC,DSOI4,,40.84952,-92.538281,DMX,NCRFC,IA,Davis,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSOI4,HGIRP,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Iowa Flood Center,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Kansas River at De Soto,DSOK1,6892350,38.983333,-94.964444,EAX,MBRFC,KS,Johnson,,CST6CDT,FALSE,,22,26,33,36,ft,,https://water.noaa.gov/gauges/DSOK1,HGIR2,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,753.87,,,,
Union Creek near Madison,DSON1,,41.8298,-97.3628,OAX,MBRFC,NE,Madison,,CST6CDT,FALSE,,1535,1536,1546,1548,ft,,https://water.noaa.gov/gauges/DSON1,HGIRP,FALSE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Observations courtesy of the MATC,,FALSE,FALSE,FALSE,FALSE,,,,,,
Des Plaines River near Des Plaines,DSPI2,5529000,42.08722222,-87.88722222,LOT,NCRFC,IL,Cook,,CST6CDT,FALSE,,13.5,15,18,19,ft,,https://water.noaa.gov/gauges/DSPI2,HGIRG,TRUE,,7.5 ft,"Forecasts are issued as needed during times of high water, but are not routinely available.",TRUE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,616.15,,,,
Sulphur River near Dalby Springs at Interstate 30,DSPT2,7343450,33.3094,-94.6981,SHV,LMRFC,TX,Bowie,,GMT0GMT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSPT2,HGIRG,TRUE,,0 ft,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Deschutes River near Rainier,DSRW1,12079000,46.85222222,-122.6675,SEW,NWRFC,WA,Thurston,,PST8PDT,FALSE,,9,11,13.5,15,ft,,https://water.noaa.gov/gauges/DSRW1,HGIRG,TRUE,,0 ft,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,349.1,,,,
Red River at Denison Dam near Denison,DSTT2,7331600,33.818991,-96.563326,OUN,ABRFC,TX,Bryan,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSTT2,HGIRG,FALSE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,494.79,,,,
Canaseraga Creek at Dansville,DSVN6,4224775,42.53555556,-77.70444444,BUF,NERFC,NY,Livingston,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DSVN6,HGIRG,TRUE,,0 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Tyger River near Delta,DTAS1,2160105,34.53527778,-81.54833333,GSP,SERFC,SC,Union,,EST5EDT,FALSE,,28,30,33,36,ft,,https://water.noaa.gov/gauges/DTAS1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,302.1,,,,
Great Miami River at Dayton,DTNO1,3270500,39.76527778,-84.1975,ILN,OHRFC,OH,Montgomery,,EST5EDT,FALSE,,29.5,41,44,48,ft,,https://water.noaa.gov/gauges/DTNO1,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Miami Conservancy/USGS,,TRUE,TRUE,TRUE,TRUE,NAVD88,699.15,,,,
Holmes Creek at Conestoga Lake,DTON1,,40.7647,-96.8458,OAX,MBRFC,NE,Lancaster,,CST6CDT,FALSE,,1234.58,1238.7,-9999,1251.9,ft,,https://water.noaa.gov/gauges/DTON1,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,the Army Corps of Engineers (SC12),,FALSE,FALSE,FALSE,FALSE,,,,,,
Teton River near Dutton,DTTM8,6108000,47.930325,-111.5529417,TFX,MBRFC,MT,Teton,,MST7MDT,FALSE,,8,9,-9999,-9999,ft,,https://water.noaa.gov/gauges/DTTM8,HGIRG,TRUE,,0 ft,"Forecasts are issued routinely during the warm season, and as needed at other times of the year.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,3235,,,,
Dutch Bill Creek at Bohemian Highway and Tyrone Road,DUBC1,,38.45027778,-123.0002778,MTR,CNRFC,CA,Sonoma,,PST8PDT,FALSE,,100,102,105,108,ft,,https://water.noaa.gov/gauges/DUBC1,HGIRG,FALSE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,NOAA,,FALSE,FALSE,FALSE,FALSE,,,,,,
Scioto River near Dublin,DUBO1,3221000,40.14339564,-83.1204664,ILN,OHRFC,OH,Delaware,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DUBO1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,773.88,,,,
Sandy Lick Creek at Dubois,DUBP1,3031624,41.12555556,-78.76388889,CTP,ABRFC,PA,Clearfield,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DUBP1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,1382.83,,,,
Wisconsin River below Dubay Dam,DUBW3,,44.665,-89.65083333,GRB,NCRFC,WI,Portage,,CST6CDT,FALSE,,1095,1098,1102,1105,ft,,https://water.noaa.gov/gauges/DUBW3,HTIRP,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,StoraEnso/Consolidated Water Co.,,FALSE,FALSE,TRUE,FALSE,,,,,,
Wind River near Dubois,DUBW4,6218500,43.57843,-109.75945,RIW,MBRFC,WY,Fremont,,MST7MDT,FALSE,,4.5,5,5.5,6,ft,,https://water.noaa.gov/gauges/DUBW4,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,7188.71,,,,
Durbin Creek at Racetrack Road,DUCF1,2246200,30.09916667,-81.52611111,JAX,SERFC,FL,St. Johns,,EST5EDT,FALSE,,2,3,4,5,ft,,https://water.noaa.gov/gauges/DUCF1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
South Tyger River below Duncan,DUCS1,2158408,34.94,-82.12361111,GSP,SERFC,SC,Spartanburg,,EST5EDT,FALSE,,16,17,25,38,ft,,https://water.noaa.gov/gauges/DUCS1,HGIRG,TRUE,,0 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey - Funded SJWD,,FALSE,FALSE,FALSE,FALSE,NGVD29,728,,,,
French Broad River above Douglas Dam,DUGT1,,35.96,-83.535,MRX,LMRFC,TN,Sevier,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/DUGT1,HPIRZ,TRUE,,0 ft,Forecasts are issued routinely year-round.,TRUE,FALSE,TRUE,TVA,,TRUE,TRUE,TRUE,TRUE,,,,,,
